,TAX,GDP,EXP,IE,RS,COM,INV,DEP
1978,5.1928,36.056,11.2209,3.55,15.586,17.591,8.008,2.106
1979,5.3782,40.926,12.8179,4.546,18,20.115,8.565,2.81
1980,5.717,45.929,12.2883,5.7,21.4,23.312,9.109,3.958
1981,6.2989,50.088,11.3841,7.353,23.5,26.279,9.61,5.237
1982,7.0002,55.9,12.2998,7.713,25.7,29.029,12.304,6.754
1983,7.7559,62.162,14.0952,8.601,28.494,32.311,14.301,8.925
1984,9.4735,73.627,17.0102,12.01,33.764,37.42,18.329,12.147
1985,20.4079,90.767,20.0425,20.667,43.05,46.874,25.432,16.226
1986,20.9073,105.085,22.0491,25.804,49.5,53.021,31.206,22.385
1987,21.4036,122.774,22.6218,30.842,58.2,61.261,37.917,30.814
1988,23.9047,153.886,24.9121,38.218,74.4,78.681,47.538,38.222
1989,27.274,173.113,28.2378,41.56,81.014,88.126,44.104,51.964
1990,28.2186,193.478,30.8359,55.601,83.001,94.509,45.17,71.196
1991,29.9017,225.774,33.8662,72.258,94.156,107.306,55.945,92.449
1992,32.9691,275.652,37.422,91.196,109.937,130.001,80.801,117.573
1993,42.553,369.381,46.423,112.71,142.704,164.121,130.723,152.035
1994,51.2688,502.174,57.9262,203.819,186.229,218.442,170.421,215.188
1995,60.3804,632.169,68.2372,234.999,236.138,283.697,200.193,296.623
1996,69.0982,741.636,79.3755,241.338,283.602,339.559,229.135,385.208
1997,82.3404,816.585,92.3356,269.672,312.529,369.215,249.411,462.798
1998,92.628,865.316,107.9818,268.497,333.781,392.293,284.062,534.075
1999,106.8258,911.25,131.8767,298.962,356.479,419.204,298.547,596.218
2000,125.8151,987.49,158.865,392.732,391.057,458.546,329.177,643.324
2001,153.0138,1090.28,189.0258,421.836,430.554,494.359,372.135,737.624
2002,176.3645,1204.756,220.5315,513.782,481.359,530.566,434.999,869.1065
2003,200.1731,1366.134,246.4995,704.835,525.163,576.498,555.666,1036.1731
2004,241.6568,1609.566,284.8689,955.391,595.01,652.185,704.774,1195.5539
2005,287.7854,1874.234,339.3028,1169.218,671.766,729.587,887.736,1410.5099
2006,348.0435,2227.1253,404.2273,1409.74,791.452,825.7545,1099.9816,1615.873
2007,456.2197,2665.9917,497.8135,1668.637,935.716,963.325,1373.2394,1725.3419
2008,542.2379,3159.7457,625.9266,1799.2147,1148.301,1116.704,1728.284,2178.8535
2009,595.2159,3487.7507,762.9993,1506.4806,1326.784,1235.8462,2245.9877,2607.7166
2010,732.1079,4028.1647,898.7416,2017.2215,1569.9843,1407.5865,2516.8377,3033.0249
2011,897.3839,4726.1917,1092.4779,2364.0199,1839.186,1689.5663,3114.8513,3436.3589
2012,1006.1428,5293.992,1259.5297,2441.6021,2103.0698,1905.846,3746.9474,3995.5104
2013,1105.307,5831.967,1402.121,2581.689,2428.428,NA,4462.9409,4476.016
2014,1191.5805,6340.434,1516.6154,2643.3449,2718.961,NA,5127.607,4852.6134
